cause,category_cause,effect,category_effect,relationship,frequency,num_papers,main_confidence,sample_evidence
higher-order structure,structure,aggregation,stability,promotes,15,15,high,accounts for the lack of LEN fibrils in the absence of agitation
pharmacokinetics,structure,pharmacokinetics,quality_outcome,modifies,15,14,high,Trough levels >1.0 microg/mL KM871 at 2 wk postinfusion were seen with the 10 mg/m2 and higher dose levels.
heat stress,stress,aggregation,stability,promotes,15,13,high,common stresses leading to antibody aggregation ... include ... heat
ionic strength,formulation,self-association,structure,modifies,15,15,high,can be modulated with solution ionic strength
fcrn binding,structure,fcrn binding,structure,modifies,15,11,high,"subsequent FcRn binding, recycling into plasma of FcRn-bound IgG"
amino acid sequence,sequence,fragmentation,stability,modifies,15,14,high,"panel of seven N-terminal variants was designed, based on the published specificity of bacterial methionine aminopeptida"
concentration,formulation,viscosity,stability,increases,15,14,high,"histidine reduced viscosity of the antibody solution, which is desirable for the manufacture of the dosage form"
buffer composition,formulation,aggregation,stability,promotes,15,13,high,Evidence is provided for the importance of the total acid concentration for antibody aggregation at low pH
binding affinity,structure,binding affinity,quality_outcome,stabilizes,14,13,high,binding affinity being tighter than 10 pM due to the formation of an extremely stable complex
disulfide bond,structure,conformational stability,stability,stabilizes,14,13,high,a stable bivalent Fv molecule ... V(H) and V(L) domains of the Fv are linked to each other by a disulfide bond
conformational change,structure,binding affinity,quality_outcome,stabilizes,14,13,high,The light chain CDR1 ... has the most significant effect on the improved affinity
glycosylation pattern,sequence,binding affinity,quality_outcome,modifies,14,12,high,affinity constants for reactions of rabbit RF and murine MoAb with HI IgG and Fc were approximately 10-fold higher relat
deamidation,stability,charge variants,quality_outcome,induces,14,14,high,Quantitation of isoaspartate ... indicated deamidation of MMA383 as a major cause of charge heterogeneity.
humanization,sequence,immunogenicity,quality_outcome,decreases,14,13,high,"humanization offers a significant reduction in immunogenicity, potentially allowing repeat courses of treatment"
glycosylation pattern,sequence,binding activity,quality_outcome,modifies,14,12,high,the new glycosylation pattern of the Fab domain do not modify binding to the target
glycosylation,sequence,immunogenicity,quality_outcome,modifies,14,14,high,glycosylation of a monoclonal antibody can have a significant impact on its ... immunogenicity
binding affinity,structure,binding activity,quality_outcome,binds,14,11,high,in yields that correlate with their relative binding affinities.
thermal stress,stress,fragmentation,stability,induces,14,9,high,"Incubated in buffers of various pH at 40 degrees C for 10 weeks, extensive fragmentation was observed in the hinge and o"
formulation,formulation,aggregation,stability,decreases,14,11,high,a 50% dimethyl sulfoxide-50% aqueous two-solvent system is used to prevent photosensitizer aggregation
conformational change,structure,binding activity,quality_outcome,modifies,13,13,high,it is this change that blocks PR1A3 binding to its epitope
high concentration,formulation,self-association,structure,promotes,13,12,medium,self-association phenomena at high protein concentrations
n-glycosylation,sequence,binding activity,quality_outcome,correlates,13,11,high,The N-deglycosylated variant antibody has greater antigen binding.
immunogenicity,quality_outcome,concentration,quality_outcome,decreases,13,11,high,"Patients without antiadalimumab antibodies had much higher adalimumab concentrations (median, 12 mg/L) compared with pat"
adsorption,stability,particle formation,quality_outcome,promotes,13,12,high,Uncoated glass and BD-42-coated syringes considerably reduced the formation of both visible and subvisible particles
glycosylation,sequence,glycan,structure,modifies,13,11,high,optimize ... for beta-galactosidase digestion for maximal release of terminal Gal residues from rIgG
high concentration,formulation,aggregation,stability,promotes,13,12,high,necessity to reactivate proteins at low protein concentrations due to its tendency to aggregate at high concentrations
polysorbate 80,formulation,aggregation,stability,inhibits,13,13,high,"Extent of aggregation varied with the presence of cosolutes (sucrose, glycine, and Tween 80)."
n-glycosylation,sequence,binding affinity,quality_outcome,modifies,13,12,high,Carbohydrates can change a drug's properties including... affinity towards antigen
n-glycosylation,sequence,glycosylation pattern,sequence,modifies,13,11,high,"60% of the oligosaccharides N-linked to the plantibody have beta(1, 2)-xylose and alpha(1, 3)-fucose residues linked to "
post-translational modifications,sequence,charge variants,quality_outcome,induces,13,13,high,Numerous putative post-translational modifications may induce variations of monoclonal antibodies charge distribution
amino acid sequence,sequence,amino acid sequence,sequence,correlates,12,9,high,The levels of the identified sequence variants A183S ... have been determined to be 7.8-9.9% by extracted ion currents o
oxidative stress,stress,methionine oxidation,sequence,oxidizes,12,10,high,the susceptible Met residues of each heavy chain were randomly oxidized in samples incubated with tBHP.
storage temperature,stress,storage stability,stability,stabilizes,12,7,high,Lyophilized kits showed high stability during the storage at 4 degrees C for 6 months
surfactant,formulation,aggregation,stability,inhibits,12,10,high,losing surfactant functions and leading to protein aggregation
glycosylation,sequence,binding affinity,quality_outcome,modifies,12,11,high,V kappa glycosylation had no significant effect on antibody-binding affinity and kinetics.
hydrophobicity,structure,aggregation,stability,promotes,12,12,high,Because of the hydrophobic nature of the MGBs...tendencies to induce mAb aggregation upon conjugation.
glycosylation pattern,sequence,clearance,quality_outcome,increases,12,7,high,biantennary oligosaccharides lacking galactosylation had slightly faster clearance rates
aggregation,stability,aggregation,stability,promotes,12,12,high,as evidenced by ... thioflavin T binding
deamidation,stability,acidic variants,quality_outcome,induces,12,11,high,increase in CEX pre-peak at 25 degrees C and higher was caused by ... deamidation
clearance,quality_outcome,half-life,stability,decreases,12,11,high,diminished half-life of the aglycosyl antibody is due to increased catabolism in the extravascular tissues
ionic strength,formulation,electrostatic repulsion,structure,correlates,12,10,high,Predictions ... were found to be consistent with observed effect of pH and ionic strength on zeta potential
storage temperature,stress,fragmentation,stability,increases,11,10,high,Size exclusion chromatography did not show ... fragmentation
charge distribution,structure,self-association,stability,promotes,11,9,high,structures in MAb1 are formed due to stronger Fab-Fab interactions; coarse-grained models pick up differences based on l
higher-order structure,structure,biological activity,quality_outcome,requires,11,11,high,"antibody flexibility being important to neutralization by antibodies reactive with obscured epitopes (e.g., CD4 binding "
fab fragments,structure,binding affinity,stability,stabilizes,11,8,high,The Fab fragment differed ... in that the apparent affinity of the Fab was generally lower for a given chelator-metal co
amino acid sequence,sequence,stability,stability,stabilizes,11,10,high,Mutants G5 and B7 were also improved in their stability
methionine,formulation,oxidation,stability,inhibits,11,10,high,"inhibited by amino acids (taurine, methionine), consistent with involvement of HOCl"
polysorbate degradation,formulation,particle formation,quality_outcome,promotes,11,10,high,hydrolyzes oleate esters of PS80 increasing the risk that colloidal IgG particles will form in mAb drug product
disulfide bond,structure,stability,stability,stabilizes,11,10,high,by introducing both linker and disulfide bond into the targeting moiety
storage temperature,stress,aggregation,stability,prevents,11,11,high,stored ... at 4 degrees C or room temperature up to 6 months with no evidence of chemical or physical instability. No ag
diffusion interaction parameter,structure,viscosity,stability,correlates,11,10,high,k(D) could serve as a qualitative screening tool to predict high-concentration viscosity behavior
glycosylation,sequence,half-life,quality_outcome,modifies,11,8,high,Hyperglycosylated proteins show increased serum half-life
ph,formulation,fragmentation,stability,modifies,11,10,high,a quantitative study of the effects of sample buffer pH on rMAb fragmentation is also presented
n-glycosylation,sequence,n-glycosylation,sequence,modifies,11,11,high,"EndoS...specifically hydrolyzes the beta-1,4-di-N-acetylchobiose core of the asparagine-linked glycan of human IgG."
shear stress,stress,aggregation,stability,promotes,11,10,high,We found that shear alone did not cause aggregation
stress conditions,stress,higher-order structure,structure,modifies,11,9,high,All antibody preparations were identical to each other and to the current antibody reference standard
glycosylation,sequence,pharmacokinetics,quality_outcome,modifies,11,11,high,degree of glycosylation of a molecule may alter its pharmacokinetic properties
glycan content,sequence,biological activity,quality_outcome,modifies,11,10,high,A conserved 10-fold increase in ADCC was observed for both remodeled therapeutic Mabs with high (>80%) bisecting GlcNAc 
conformational change,structure,aggregation,stability,promotes,10,10,medium,The structural changes correlated with long-term stability with respect to protein aggregate formation
excipients,formulation,protein stability,stability,stabilizes,10,6,high,protein was most stable in the presence of methylparaben and propylparaben
aggregation propensity,structure,aggregation,stability,promotes,10,10,high,Potential mechanisms involving the formation of aggregation-prone conformational states (mechanism for aggregation).
n-glycosylation,sequence,efficacy,quality_outcome,modifies,10,10,high,differences in N-glycosylation do not affect the efficacy of the antibody in this model.
aggregates,stability,immunogenicity,quality_outcome,increases,10,9,high,"""may trigger anti-drug-antibody formation in patients"""
excipients,formulation,self-association,structure,inhibits,10,9,high,Assessing how excipients affect the self-association of monoclonal antibodies (mAbs) requires...
polysorbate 20,formulation,aggregation,stability,inhibits,10,10,high,Polysorbate 20 (PS20) suppressed the aggregation
denaturation,formulation,denaturation,stability,unfolds,10,9,high,GuHCl-induced unfolding of mAb1 ... at temperatures ranging from -5 to 50 degrees C
arginine,formulation,aggregation,stability,inhibits,10,7,high,Arginine is effective in suppressing aggregation of proteins
partial unfolding,structure,aggregation,stability,promotes,10,10,high,suggesting that the amyloid fibrils might be formed through this intermediate
oxidative stress,stress,tryptophan oxidation,stability,oxidizes,10,8,high,AAPH ... oxidized Met and Trp residues
agitation stress,stress,particle formation,quality_outcome,promotes,10,9,high,Uncoated glass and BD-42-coated syringes reduced particle formation after immediate contact and after agitation
degradation,stability,fragmentation,stability,fragments,10,9,high,Larger 120- and 135-kDa fragments were most likely produced by proteolytic degradation along the secretory pathway outsi
deamidation,sequence,charge heterogeneity,quality_outcome,induces,10,10,high,variants formed by processes such as ... deamidation
glycosylation,sequence,clearance,quality_outcome,modifies,10,7,high,no significant difference was found... or lacking Fv-glycosylation
amino acid sequence,sequence,aggregation propensity,stability,modifies,10,10,high,"for solutions with negative B (2) values, ... aggregation propensity differed depending on sequences"
binding activity,structure,binding activity,structure,inhibits,10,10,high,being completely or partially destroyed when any of these 15 other mAb bound the IgG first
increasing dose,formulation,pharmacokinetics,quality_outcome,correlates,10,9,high,"No substantial difference in test article exposure between sexes was observed, and mean plasma Cmax and AUC0-n were appr"
stress conditions,stress,degradation,stability,induces,10,10,high,to capture the degradations induced by various stress conditions
reversible self-association,structure,viscosity,stability,increases,10,10,high,reversible multivalent self-association ... results in unusually high viscosity of this monoclonal antibody in solution 
surfactant,formulation,particle formation,quality_outcome,inhibits,10,9,high,the presence of surfactant reduced the level of particle formation in small-scale stirring studies
formulation,formulation,viscosity,stability,decreases,10,10,medium,The significance of each factor and the two-way interactions between them was studied by multivariable regression analys
high concentration,formulation,increased viscosity,stability,increases,10,10,high,"MAb1 has a significantly higher viscosity compared to MAb2, especially at concentrations >50 mg/mL; simulations done at "
fab fragments,structure,half-life,stability,correlates,10,7,high,the longest biological half-life ... is obtained with F(ab')2 from chimeric MAb of human IgG2 sub-class
amino acid sequence,sequence,viscosity,stability,correlates,10,10,high,"In contrast, mAb2 solutions showed Newtonian behavior up to gamma = 6x 10(4) s(-1)"
polysorbate 80,formulation,adsorption,stability,inhibits,10,7,high,PS80 protects against particle formation by preventing protein-interface adsorption
conformational stability,stability,aggregation,stability,promotes,9,7,high,anion binding mediates aggregation by lowering mAb conformational stability
self-association,structure,oligomerization,stability,promotes,9,8,high,"A new species corresponding to a Fab-Fab complex was found, implying that interactions between Fab domains were responsi"
low ph,stress,conformational change,structure,induces,9,7,high,Between pH 3.5 and 2.0 conformational changes and the formation of new structures are indicated
air-liquid interface,stress,particle formation,quality_outcome,promotes,9,9,high,importance of the interactions between the antibody and the air-liquid interface during agitation in the formation of pa
fragmentation,structure,biological activity,quality_outcome,decreases,9,8,high,effect of fragmentation on the function ... depending on whether cleavage sites are observed in the variable or constant
clearance,stability,efficacy,quality_outcome,decreases,9,8,high,Factors affecting the successful therapy ... include ... fast blood clearance of the antibodies
subcutaneous,formulation,immunogenicity,quality_outcome,increases,9,8,high,The frequencies of ... anti-TCZ antibodies were increased with TCZ-SC compared with TCZ-IV
fragmentation,structure,binding activity,quality_outcome,binds,9,8,high,a complete degradation to low molecular weight fragments and free iodine was seen.
polysorbates,formulation,aggregation,stability,prevents,9,9,high,Polysorbates are used ubiquitously in protein therapeutic drugs to help minimize...aggregation
buffer composition,formulation,stability,stability,stabilizes,9,9,high,the most stable complex in DPBS at 37 degrees C
formulation,formulation,stability,stability,stabilizes,9,9,medium,issues in the formulation of antibody-based materials to maintain sufficient stability
amino acid sequence,sequence,self-association,structure,modifies,9,9,high,wide range of self-associative propensities for mAbs that bind to the same antigen and which differ mainly in their comp
high concentration,formulation,reversible self-association,stability,promotes,9,9,high,tends to reversibly self-associate at high protein concentration.
ionic strength,formulation,adsorption,structure,modifies,9,8,high,this pH-dependent pattern could be altered by increasing salt concentration
protein concentration,formulation,aggregation,stability,correlates,9,9,medium,aggregation... decreased with protein concentration
binding affinity,structure,efficacy,quality_outcome,modifies,9,8,high,improvement in their efficacy (affinity and specificity)
electrostatic interactions,structure,self-association,stability,promotes,9,8,high,supported a combined role of hydrophobic and electrostatic interactions in mAbA self-association
subcutaneous,formulation,pharmacokinetics,quality_outcome,correlates,9,8,high,When administered ... the distribution and elimination kinetics were within error ... the protein retained full activity
fab fragments,structure,biological activity,quality_outcome,inhibits,9,7,high,F(ab\')(2) homodimers were the most active (had superior antigrowth activity)
low ph,formulation,fragmentation,stability,increases,9,8,high,shift of the major peptide bond hydrolysis sites in the hinge region towards the C-terminal direction with the decrease 
fab fragments,structure,immunogenicity,quality_outcome,induces,9,8,high,murine 7E3 Fab... but this antibody was immunogenic.
sodium chloride,formulation,aggregation,stability,modifies,9,8,high,screen the effects of ... NaCl ... on presence of aggregation
deamidation,stress,deamidation,stability,deamidates,9,7,high,a single isoelectric point variant of a monoclonal antibody was collected and used for a stability study under forced de
n-glycosylation,sequence,antibody-dependent cellular cytotoxicity (ADCC),quality_outcome,modifies,9,9,high,resultant mAbs ... had better antibody-dependent cell-mediated cytotoxicity and effector cell receptor binding activitie
arginine,formulation,viscosity,stability,decreases,8,8,high,"viscosity of MAb1 solutions was lowest in the buffer containing histidine, arginine, and aspartic acid"
aggregation,stability,binding activity,quality_outcome,decreases,8,8,high,"The one-step, vigorous-stirring method of DTPA incorporation produced no polymerization and no loss of immunoreactivity."
trehalose,formulation,aggregation,stability,decreases,8,6,high,Aggregate was minimized by formulation with trehalose at or above a molar ratio in the range of 300:1 to 500:1 (excipien
ph,formulation,viscosity,stability,modifies,8,7,high,Solutions at pH 9.0 behaved as most viscous and viscoelastic
hydrophobic interaction,structure,binding affinity,stability,stabilizes,8,7,high,importance of hydrophobic interactions in stabilizing the antibody/antigen complex.
protein unfolding,structure,aggregation,stability,promotes,8,8,high,DSC and TSML showed that Fab... unfolding corresponded with the onset of aggregation for each condition.
net charge,sequence,viscosity,stability,correlates,8,8,high,we show that the mAb solution viscosity is poorly correlated with the mAb net charge (|R| <= 0.6).
adsorption,formulation,binding activity,quality_outcome,decreases,8,6,high,"A binding of approximately 3% was obtained in the former method, while 5.5% binding was achieved in the latter (adsorpti"
n-glycosylation,sequence,immunogenicity,quality_outcome,induces,8,8,medium,some of these minor glycans are likely to influence immunogenicity and clearance rate in vivo
aggregation,stability,viscosity,stability,increases,8,8,high,leading to a higher viscosity at the pI
amino acid sequence,sequence,half-life,stability,stabilizes,8,7,high,"t(1/2) of approximately 4 days for IgG4-E and 9 days for IgG4-PE, consistent with a greater stability of the IgG4-PE mol"
igg degradation enzymes (igdes) used to cleave mabs above the hinge,stress,fragmentation,structure,fragments,8,8,high,"IdeS, cleaves heavy chains below the hinge region, producing F(ab')2 and Fc fragments"
diffusion interaction parameter,quality_outcome,self-association,structure,correlates,8,8,high,the k(D) indicated intermolecular attractions at the pI
storage temperature,stress,biological activity,stability,stabilizes,8,7,high,the biological activity was fully maintained
elevated temperature,stress,conformational change,structure,modifies,8,6,medium,"At elevated temperatures, glycan truncation can also differentially affect structural deformation in locations Helix-1 a"
excipients,formulation,conformational stability,stability,modifies,8,7,high,LIS seemed to be a specific denaturant for the antibody and its action was reversible.
charge distribution,structure,viscosity,stability,correlates,8,8,high,mAbs viscosities increase strongly with ... charge dipole distribution
aggregation-prone region,sequence,aggregation,stability,promotes,8,7,high,supporting the identification of a common aggregation hotspot sequence in the Fc region of human IgG1 mAbs
oxidative stress,stress,aggregation,stability,promotes,8,8,medium,these differences can be accounted for by the following: ... oxidative stress (A > B)
viscosity,stability,viscosity,stability,correlates,8,7,high,The most potent excipients lower the viscosity over fourfold to levels far below the 50cP threshold for subcutaneous inj
charge variants,quality_outcome,efficacy,quality_outcome,modifies,8,7,high,Charge variant profiles may influence efficacy and/or lead to unintended side-effects
fab fragments,structure,pharmacokinetics,quality_outcome,correlates,8,5,high,"percentage of injected dose of mAb or Fab/c fragment reaching the specific 791T tumour was similar, and ... catabolized "
fab fragments,stress,fragmentation,stability,fragments,8,6,high,"Fab' fragments, from reduced F(ab')2 fragments following LE digestion of IgG2a"
amino acid sequence,sequence,conformational stability,stability,destabilizes,8,8,high,"If the variable domain sequences, resulting from complementarity determining regions (CDRs) grafting and humanization, d"
freeze-thaw,stress,aggregation,stability,promotes,8,8,high,The primary route of degradation induced by freeze-thawing is protein aggregation.
glycan,sequence,immunogenicity,quality_outcome,induces,8,6,high,Galactosyl residues were evidenced on all rat monoclonal antibody tested
ionic strength,formulation,liquid-liquid phase separation,stability,promotes,8,6,high,LLPS was induced in MAb A solution in a low ionic strength condition
asparagine deamidation,stability,acidic variants,quality_outcome,induces,8,7,high,Reduced Lys-C peptide mapping identified a small difference in one of the heavy chain peptides (H4) in acidic 2 ... this
disulfide bond,structure,biological activity,quality_outcome,stabilizes,8,8,high,but the cytotoxic activities of the two constructs were indistinguishable
thermal stress,stress,higher-order structure,structure,modifies,8,6,high,"heterogeneity of the bis-ANS binding sites reflects the complex, heterogeneous nature of the heat-stressed IgG used in t"
higher-order structure,structure,binding affinity,quality_outcome,modifies,8,7,high,which leads to a preferable effect on the antigen binding
low ph,formulation,asp isomerization,stability,promotes,8,6,high,Succinimide formation increased as pH became more acidic.
low ph,formulation,binding activity,quality_outcome,modifies,8,4,high,Binding was unaltered by acidic pH>=4 even after 20 h
binding activity,structure,binding affinity,quality_outcome,correlates,8,7,high,use two distinct thermodynamic pathways for binding to the same antigen while retaining the same value of the binding af
oxidation,formulation,fragmentation,stability,promotes,8,7,high,The amount of half-antibody was reduced to 4% by reoxidation in the presence of a mixture of oxidized and reduced glutat
fc region,structure,half-life,stability,stabilizes,8,8,high,The human Fc portion of humanized monoclonal antibodies (mAb) gives them a half-life of around 21 days
oligomerization,structure,binding activity,quality_outcome,binds,8,7,high,lambda light chain dimers which are less reactive than the monomeric form
hydrophobicity,structure,hydrophobic interaction,structure,binds,8,8,high,"hydrophobic interaction membrane chromatography-based technique for rapid, non-size-based separation; aggregates are mor"
elevated temperature,stress,asp isomerization,stability,induces,8,7,high,accumulation of succinimide after storage in mildly acidic buffers at elevated temperatures for a few weeks
low ph,formulation,higher-order structure,structure,modifies,8,8,high,Lowering the pH to 3.5 ... but does not change the conformation
fab fragments,structure,binding activity,quality_outcome,decreases,8,8,high,the rFab' had a slightly decreased antigen-binding activity (about 0.7-fold) compared with native Fab.
glycosylation pattern,structure,glycosylation pattern,structure,modifies,7,7,high,the secreted form was more homogeneous due to the predominance of a specific glycoform
biological activity,quality_outcome,biological activity,quality_outcome,requires,7,7,high,Inhibition of TGF-beta enhanced ADCC against TGF-beta-producing SCC (implies TGF-beta production reduces ADCC).
methionine oxidation,sequence,binding activity,quality_outcome,correlates,7,7,high,Met oxidation did not affect the activity
elevated temperature,stress,degradation,stability,promotes,7,7,high,"These forced degradation studies... we investigated the effects of acid, base, oxidation, ionic strength, temperature, a"
self-association,structure,increased viscosity,stability,promotes,7,7,high,Self-interaction of an antibody may lead to ... high viscosity.
